operator,accidents,category
Korean Air,4,Commercial
"L.C. Whitford Co., Inc.",1,Unknown
L3 Technologies,1,Unknown
L39 Engineering,1,Unknown
LANHSA,1,Unknown
LASER,1,Unknown
LATAM Airlines Brasil,1,Commercial
LATAM Perú,1,Unknown
"LBK Serviço Aéreo Especializado, opf Skydive4Fun",1,Unknown
LC Perú,1,Unknown
LPS Flight Checks & Systems,1,Unknown
Lake & Peninsula Airlines,1,Commercial
Lake Clark Air,1,Commercial
Lake Clark Air Services,1,Commercial
Las Vegas Sands Corporation,1,Unknown
LaudaMotion,1,Unknown
Lauren Engineers & Constructors,1,Unknown
Legacy Air LLC,1,Commercial
Lenox Handels und Speditions,1,Unknown
Liaoning Star General Aviation,1,Unknown
Libyan Air Cargo,1,Cargo
Libyan Air Force,2,Military
Libyan Airlines,1,Commercial
Libyan National Army,1,Unknown
LifeMed Alaska,1,Unknown
Lima Delta Co Trustee,1,Unknown
LinkPNG,2,Unknown
Lion Air,3,Commercial
Lionair Inc.,2,Commercial
Lowcountry Aviation Co Brokerage LLC,1,Unknown
Lufthansa,2,Unknown
Luxwing,1,Unknown
Lynch Flying Service Inc,1,Unknown
"Lynden Air Cargo, opf PNG Air",1,Cargo
Líder Táxi Aéreo,1,Unknown
Línea Aérea Amaszonas,1,Unknown
MAF,4,Unknown
MAP Linhas Aéreas,1,Unknown
MC Aviation,1,Unknown
MD Fly,1,Unknown
MHS Aviation,1,Unknown
MM-Air LLC,1,Commercial
MTC Enterprises,1,Unknown
Mahan Air,1,Commercial
Major Blue Air,1,Commercial
Makalu Air,1,Commercial
Makani Kai Air,1,Commercial
Malaysia Airlines,1,Commercial
Maldivian,2,Unknown
Malian Aéro Company,1,Unknown
Malta Air,1,Commercial
Malu Aviation,1,Unknown
Mandarin Airlines,1,Commercial
Manta Air,1,Commercial
Martinair Inc.,1,Commercial
Martinaire,5,Commercial
Martini Aviation Ltd.,1,Unknown
Mauritania Airlines International,1,Commercial
Maya Island Air,1,Commercial
McWilliams LLC,1,Unknown
Meander Air II,1,Commercial
Med Air,1,Commercial
Med Air Inc,1,Commercial
Mega Aircompany,1,Commercial
Meridian,1,Unknown
Mexican AF,1,Unknown
Miami Air International,1,Commercial
Million Air San Juan,1,Commercial
Mistral Air,1,Commercial
Mokulele Airlines,1,Commercial
Morningstar Air Express,1,Commercial
Morningstar Partners,1,Unknown
"Mountain Air Cargo, opf FedEx",1,Cargo
Multimanaged Investments Pty,1,Unknown
Myanmar Air Force,2,Military
Myanmar National Airlines,1,Commercial
N1GG LLC,1,Unknown
N425BJ LLC,1,Unknown
NPP Mir,1,Unknown
Naryan-Mar Air Enterprise,2,Commercial
Nature Air,1,Commercial
Navigator,1,Unknown
Nepal Army,1,Unknown
"Neptune Aviation Services, opf",1,Unknown
Nestoil,1,Unknown
Nicholas Services LLC,1,Unknown
Nigerian AF,2,Unknown
Nippon Cargo Airlines,1,Cargo
Nok Air,1,Commercial
Nordic Aviation Capital,1,Unknown
Nordwind Airlines,1,Commercial
North Coast Aviation,1,Unknown
North Star Air,2,Commercial
"North Star Air, opb Private Air",1,Private
North-Wright Airways,1,Commercial
Northeast General Aviation Co.,1,Unknown
Northern Meridian LLC,1,Unknown
Northwestern Air,1,Commercial
Norwegian Air UK,1,Commercial
Novair,1,Commercial
Omicron Business Services,1,Unknown
Omni Air International,3,Commercial
Onur Air,1,Commercial
Ookpik Aviation,1,Unknown
Optimal Aviation Services,1,Unknown
"Optimum Aviation, opf Euro Airlines",1,Commercial
Oriental Air Bridge,1,Commercial
Orlan 2000,1,Unknown
Osprey Wings,1,Unknown
Ostthüringer Fallschirmsportclub,1,Unknown
Overland Airways,1,Commercial
OzAir Charter Service,1,Private
Ozark Air Services,1,Commercial
PACC Air,1,Commercial
PAL Airlines,1,Commercial
"PAL Airlines, opf EHS LifeFlight Services",1,Commercial
PB Air LLC,1,Commercial
PIA,3,Unknown
PSA Airlines,1,Commercial
"PSA Airlines, opf American Eagle",4,Commercial
PV Transport Inc,1,Unknown
Pacific Cataract and Laser Institute Inc,1,Unknown
Pacific Dental Services,1,Unknown
Pakistan AF,1,Unknown
Pakistan Army Aviation Corps,1,Unknown
Panamerican Training Center - PTC,1,Unknown
Par-Avion,1,Unknown
Paracentrum Vlaanderen,1,Unknown
Parachutisme Nouvel Air,1,Commercial
Paraclub Wiener Neustadt,1,Unknown
Paranodon Fallschirmsport Illertissen,1,Unknown
Partee Aviation LLC,1,Unknown
Peddler LLC,1,Unknown
Pegasus Airlines,2,Commercial
PenAir,1,Commercial
Penial Air,1,Commercial
"Penial Air, opf Sigale Air",1,Commercial
Pepkor Group,1,Unknown
Perimeter Aviation,4,Unknown
Perris Valley Aviation,1,Unknown
Peruvian AF,1,Unknown
Peruvian Airlines,2,Commercial
Peruvian Navy,1,Military
Philippine AF,1,Unknown
Philippine Air Lines,1,Commercial
Phoenix,1,Unknown
Phoenix Air,1,Commercial
Pilot Point Consultancy,1,Unknown
Pineapple Air,1,Commercial
Pinnacle Air Charter,1,Private
Piquiatuba Táxi Aéreo,1,Unknown
Planemasters,1,Unknown
"Platinum Jet Co., Ltd.",1,Private
Polemaks,1,Unknown
Precision Air,1,Commercial
Priority Air Charter,1,Private
Private,2,Private
Private Airlines Germany,1,Private
Private Jets,1,Private
Pro by Air,1,Commercial
ProAir,1,Commercial
Province of Saskatchewan,1,Unknown
Qantas,1,Unknown
Qatar Airways,1,Commercial
Qatar Airways Cargo,1,Cargo
Qeshm Air,1,Commercial
RAF,1,Unknown
RAF-AVIA,1,Unknown
RAM,1,Unknown
RAM Express,1,Unknown
RBR Development,1,Unknown
RCAF,2,Unknown
RED Air,1,Commercial
"REVA, Inc.",1,Unknown
RICO,1,Unknown
RP Sales and Leasing,1,Unknown
"Raber Flight Services, LLC",1,Unknown
Rampart Aviation,1,Unknown
"Ravn Connect, opb Frontier Flying Service",1,Unknown
Redding Aero Enterprises Inc.,1,Unknown
"Regional Express Américas, opf Avianca",1,Unknown
Remonia Air,1,Commercial
Representaciones Aero3,1,Unknown
"Republic Airlines, opf Delta Connection",1,Commercial
Reven Global Transpor,1,Unknown
Revolution Flight,1,Unknown
Rimbun Air,1,Commercial
"Rimbun Air, opb Carpediem Aviation",1,Commercial
Ritch Air,1,Commercial
Roper Aviation,1,Unknown
Roraima Airways,1,Commercial
Rovos Air,1,Commercial
Royal Air Freight,1,Cargo
Royal Bahamas Defence Force,1,Unknown
Royal Moroccan Gendarmerie,1,Unknown
Royal Rainmaking and Agricultural Aviation,1,Unknown
Russian AF,6,Unknown
Russian Navy,1,Military
Rust's Flying Service,1,Unknown
Ryan Air Service,1,Commercial
Ryanair,3,Commercial
S.A. CAA,1,Unknown
S7 Airlines,1,Commercial
SA Airlink,1,Commercial
SAETA Peru,3,Unknown
SARPA,2,Unknown
SATA,2,Unknown
SATENA,1,Unknown
SC Cole Aviation LLC,1,Unknown
SJL Aeronáutica,1,Unknown
SN 1124 LLC,1,Unknown
STB Aviation,1,Unknown
STS Aviatsija,1,Unknown
SVG Air,1,Commercial
SX Transport LLC,1,Unknown
"Safari Express Airways, opf UN WFP",1,Commercial
SafariLink,1,Unknown
Safe Air Company (SAC),1,Commercial
Sales Taxi Aéreo,1,Unknown
Salvadorian AF,1,Unknown
Sanjiv Goenka Group,1,Unknown
Saratov Airlines,1,Commercial
"Saudi Arabian, lsf ACT Airlines",1,Commercial
"Saudi Arabian, lsf Onur Air",1,Commercial
"Saudi Arabian, opb ACT Airlines",1,Commercial
Scout About,1,Unknown
Seair Seaplanes,2,Commercial
Serve Air,3,Commercial
Servicios 5250084,1,Unknown
Shelter Charter Services,1,Private
SiLA - Siberian Light Aviation,1,Unknown
SibNIA,1,Unknown
Sierra West Airlines,2,Commercial
Sigma Airlines,1,Commercial
Silk Way Business Aviation,1,Unknown
Silver Air,1,Commercial
Silverstone Air Services,1,Commercial
"Silverstone Air Services, opf Saacid Airlines",1,Commercial
Singapore Airlines,1,Commercial
Sky Express,2,Unknown
Sky High Aviation Services,1,Unknown
Sky Lease Cargo,1,Cargo
Sky-Bound Aviation,1,Unknown
SkyAviatrans,1,Unknown
SkyDive Mexico,1,Unknown
SkyForce,1,Unknown
"SkyWest Airlines, op.for United Express",1,Commercial
"SkyWest Airlines, opf American Eagle",3,Commercial
Skydive Binz,1,Unknown
"Skydive Costa d'Argento, lsf",1,Unknown
Skydive Georgia,1,Unknown
Skydive Pamiers,1,Unknown
Skydive Teuge,1,Unknown
Skydive the Ranch,1,Unknown
Skyjet Aviation,1,Private
Skyline Aviation,1,Unknown
Skymark Airlines,1,Commercial
Skyservice Business Aviation,1,Unknown
Skystallion LLC,1,Unknown
Skytaxi Luftfahrt,1,Unknown
Skyview LLC,1,Unknown
Skyward Express,1,Unknown
Smart Cakrawala Aviation,2,Unknown
SmartLynx Airlines Estonia,1,Commercial
Sociedad De Transporte Aéreo Movi Air SPA,1,Commercial
Songbird Aviation LLC,1,Unknown
Sourdough Air Service,1,Commercial
South African AF,1,Unknown
South Sudan Supreme Airlines,1,Commercial
South Sudanese Air Force,1,Military
South Supreme Airlines,1,Commercial
South West Aviation,1,Unknown
"South West Aviation, lsf Slav-Air",1,Commercial
Southwest Airlines,7,Commercial
SpiceJet,1,Private
Spirit Avia Sentosa,3,Unknown
SprintAir,1,Commercial
Sri Lanka AF,1,Unknown
Sriwijaya Air,2,Commercial
St. Bernard Parish Government,1,Unknown
Star Jet,2,Private
Starbow,1,Unknown
Stargazer Aero,1,Unknown
Starjet Inc.,1,Private
Stavropol City Aviation Sports Club,1,Unknown
Stein's Aircraft Services,1,Commercial
Strait Air,1,Commercial
Sudan AF,3,Unknown
Summit Air,2,Commercial
SunExpress,1,Unknown
Sundance Airport FBO,1,Commercial
Sunny Sky,1,Unknown
Sunwing Airlines,1,Commercial
Supreme Airlines,1,Commercial
"Surveillance Australia, opf Australian Border Force",1,Unknown
Swift Air,1,Commercial
"Swiftair, opf West Atlantic (UK)",1,Commercial
T-Cement,1,Unknown
TAAG,1,Unknown
TAC9 Inc,1,Unknown
TAG,1,Unknown
TAP,1,Unknown
"TAP Express, opb White Airways",1,Commercial
THY,4,Unknown
TLD Aviation I,1,Unknown
TOTAL Linhas Aéreas,1,Unknown
TRACBEL,1,Unknown
TRACEP-Congo Aviation,1,Unknown
TSO Ukrayiny,1,Unknown
TUI fly Belgium,1,Unknown
TW 601-C Investment,1,Unknown
Taban Air,1,Commercial
Tahe Havacilik,1,Unknown
Tailwind Air Service,1,Commercial
Talon Air,1,Commercial
Taquan Air,2,Commercial
Tara Air,3,Commercial
Taraz Zhana Alem,2,Unknown
"Tarco Air, opf Sudan Airways",1,Commercial
Tarco Aircraft Funding,1,Commercial
"Tarco Aviation, lsf",1,Unknown
Tassili Airlines,1,Commercial
Tatra Jet,1,Private
Techservice,1,Unknown
Textron,2,Unknown
Thai Airways International,1,Commercial
Thai Smile,1,Unknown
The Collings Foundation,1,Unknown
Thunder Airlines,1,Commercial
Tibet Airlines,1,Commercial
Titan Drilling,1,Unknown
Torres Strait Air,1,Commercial
Trans Maldivian Airways,4,Commercial
Transair (Cargo),1,Cargo
Transavia France,1,Unknown
Transenergie Inc,1,Unknown
Transmandu,2,Unknown
Transportes Aéreos Pegaso,1,Unknown
Transportes Torreon,1,Unknown
Transwest Air,3,Commercial
"Travel Management, Inc",1,Unknown
Tri-MG Airlines,1,Commercial
Trigana Air Service,3,Commercial
Tropic,1,Unknown
Tropic Air,1,Commercial
Tropic Air Charters,1,Private
Tropic Ocean Airways,1,Commercial
Tropicair,1,Commercial
Tropical Air,1,Commercial
TruJet,1,Private
True North Airways,1,Commercial
Turkish AF,1,Unknown
Turkish Police,1,Unknown
Two Táxi Aéreo,1,Unknown
TwoFlex,1,Unknown
UPS,1,Unknown
US Army,1,Unknown
US Navy,2,Military
US-Bangla Airlines,2,Commercial
USAF,5,Unknown
USMC,3,Unknown
USMX AirLink,1,Commercial
USSOCOM,1,Unknown
"UTair-Cargo, opf UN",1,Cargo
Ukraine Air Alliance,1,Commercial
Ukraine Air Force,2,Military
Ukraine International Airlines,1,Commercial
Uni Air,1,Commercial
Union Gas Air Ventures I,1,Commercial
United Aircraft Corporation,1,Commercial
United Airlines,7,Commercial
United Aviation,1,Unknown
"United Express, opb Air Wisconsin",1,Commercial
"United Express, opb Republic Airlines",2,Commercial
"United Express, opb SkyWest Airlines",1,Commercial
Unity Airlines,1,Commercial
Unknown,25,Unknown
Ural Airlines,2,Commercial
Uruguayan AF,1,Unknown
Utair,3,Commercial
VOAR Aviação,1,Unknown
Vagus Group,1,Unknown
Valan Int'l Cargo,1,Cargo
"Van E Aviation, opb Integrated Flight Resources",1,Unknown
Vancon Holdings,1,Unknown
Venezuela AF,2,Unknown
Venezuela ANG,1,Unknown
Venezuela Flight Canaima,1,Unknown
Verijet,1,Private
Vigili del Fuoco,1,Unknown
Virgin Atlantic,1,Unknown
Virgin Australia Airlines,1,Commercial
VistaJet,1,Private
Viva Aerobus,1,Unknown
Volare Aviation,1,Unknown
Volga-Dnepr,1,Unknown
Voskhod LLC,1,Unknown
Voyageur Airways,1,Commercial
W.R.V.,1,Unknown
WL Aviation LLC,1,Unknown
Waffle House,1,Unknown
Warren Transportation LLC,1,Unknown
West Atlantic (UK),1,Unknown
West Coast Air Services,1,Commercial
West Coast Aviation Services,1,Unknown
West Wind Aviation,2,Unknown
WestJet,2,Private
WestJet Encore,2,Private
Western Air,2,Commercial
Western Air Express,1,Commercial
Western Wings Corp,1,Unknown
Westwind Air Service,1,Commercial
Windward Express Airways,1,Commercial
Wings Air,1,Commercial
Wings Over Kississing,1,Unknown
Wizz Air,1,Commercial
World Atlantic Airlines,1,Commercial
Worldwide Jet Charter,1,Private
Wright Air Service,1,Commercial
Xiamen Airlines,1,Commercial
Yakutat Coastal Airlines,1,Commercial
Yakutia Airlines,1,Commercial
Yankee Dawdle LLC,1,Unknown
Yeti Airlines,1,Commercial
ZAM Air Service,1,Commercial
Zambian Air Force,1,Military
Zeliff Aviation,1,Unknown
Zeus-Avia,1,Unknown
bmi regional,1,Unknown
easyJet,3,Private
easyJet Europe,1,Private
private,107,Private
